Transcript_ID	nbre_exon	mRNA_length	a5UTR_length	a3UTR_length	CDS	Gene_ID	nbre_intron
AT1G01550.1	3	1457	207	199	1049	AT1G01550	2
AT1G01560.2	6	1313	208	0	1104	AT1G01560	5
AT1G01570.1	3	1434	0	0	1434	AT1G01570	2
AT1G01580.1	8	2401	0	230	2170	AT1G01580	7
AT1G01590.1	8	2107	0	0	2107	AT1G01590	7
AT1G01600.1	2	2161	205	291	1663	AT1G01600	1
AT1G01610.1	4	1852	84	258	1508	AT1G01610	3
AT1G01620.1	4	1304	125	320	857	AT1G01620	3
AT1G01630.1	5	1198	192	241	763	AT1G01630	4
AT1G01640.1	3	915	122	169	622	AT1G01640	2
AT1G01650.1	14	2126	169	346	1609	AT1G01650	13
AT1G01660.1	10	1697	0	0	1697	AT1G01660	9
AT1G01670.1	8	1403	211	99	1091	AT1G01670	7
AT1G01680.1	7	958	37	0	920	AT1G01680	6
AT1G01690.1	14	1678	100	240	1336	AT1G01690	13
AT1G01695.1	4	1298	0	0	1298	AT1G01695	3
AT1G01700.1	7	1451	0	0	1451	AT1G01700	6
AT1G01710.1	19	2473	121	1083	1267	AT1G01710	18
AT1G01720.1	3	1313	140	304	867	AT1G01720	2
AT1G01725.1	2	451	39	223	187	AT1G01725	1
AT1G01730.1	3	907	45	188	672	AT1G01730	2
AT1G01740.1	10	1638	194	0	1443	AT1G01740	9
AT1G01750.1	3	766	161	183	420	AT1G01750	2
AT1G01760.1	10	1302	0	47	1254	AT1G01760	9
AT1G01770.1	16	2346	143	317	1884	AT1G01770	15
AT1G01780.1	5	934	157	162	613	AT1G01780	4
AT1G01790.1	21	3871	83	224	3562	AT1G01790	20
AT1G01800.1	5	1089	53	151	883	AT1G01800	4
AT1G01810.1	1	638	20	134	482	AT1G01810	0
AT1G01820.1	8	1040	126	211	701	AT1G01820	7
AT1G01830.2	3	2136	229	181	1724	AT1G01830	2
AT1G01840.1	1	821	112	249	458	AT1G01840	0
AT1G01860.1	9	1341	11	305	1023	AT1G01860	8
AT1G01870.1	1	72	0	0	0	AT1G01870	0
AT1G01880.1	7	1989	117	77	1793	AT1G01880	6
AT1G01890.1	1	72	0	0	0	AT1G01890	0
AT1G01900.1	2	2458	15	118	2323	AT1G01900	1
AT1G01910.1	8	1357	70	230	1055	AT1G01910	7
AT1G01920.1	16	1857	16	136	1703	AT1G01920	15
AT1G01930.1	7	1992	50	204	1736	AT1G01930	6
AT1G01940.1	5	731	54	197	478	AT1G01940	4
AT1G01950.3	20	3038	93	215	2728	AT1G01950	19
AT1G01960.1	11	5484	0	241	5242	AT1G01960	10
AT1G01970.1	2	1647	246	171	1228	AT1G01970	1
AT1G01980.1	1	1827	0	201	1625	AT1G01980	0
AT1G01990.1	1	1175	141	295	737	AT1G01990	0
AT1G02000.1	1	1780	239	235	1304	AT1G02000	0
AT1G02010.1	21	2439	154	282	2001	AT1G02010	20
AT1G02020.1	2	2256	123	204	1927	AT1G02020	1
AT1G02030.1	1	1937	1069	63	803	AT1G02030	0
AT1G02040.1	1	974	0	0	974	AT1G02040	0
AT1G02050.1	2	1310	76	46	1186	AT1G02050	1
AT1G02060.1	1	2176	43	0	2132	AT1G02060	0
AT1G02065.1	3	1606	415	190	999	AT1G02065	2
AT1G02070.1	2	602	19	187	394	AT1G02070	1
AT1G02074.1	1	146	0	0	146	AT1G02074	0
AT1G02080.1	50	7411	0	164	7246	AT1G02080	49
AT1G02090.1	9	1055	78	201	774	AT1G02090	8
AT1G02100.3	13	1322	52	281	987	AT1G02100	12
AT1G02110.1	4	2310	107	93	2108	AT1G02110	3
AT1G02120.1	18	1956	0	176	1779	AT1G02120	17
AT1G02130.1	8	1013	93	314	604	AT1G02130	7
AT1G02140.1	3	782	54	276	450	AT1G02140	2
AT1G02145.3	20	1635	26	133	1474	AT1G02145	19
AT1G02150.1	2	1908	156	177	1573	AT1G02150	1
AT1G02160.2	2	565	54	235	274	AT1G02160	1
AT1G02170.1	5	1331	103	127	1099	AT1G02170	4
AT1G02180.1	2	916	139	96	679	AT1G02180	1
AT1G02190.1	7	2166	74	213	1877	AT1G02190	6
AT1G02205.3	10	2057	69	103	1883	AT1G02205	9
AT1G02210.1	1	263	0	0	263	AT1G02210	0
AT1G02220.1	6	1347	79	87	1179	AT1G02220	5
AT1G02228.1	1	788	0	0	0	AT1G02228	0
AT1G02230.1	6	1075	0	0	1074	AT1G02230	5
AT1G02250.1	6	1083	0	0	1083	AT1G02250	5
AT1G02260.1	4	2142	319	315	1506	AT1G02260	3
AT1G02270.1	11	1634	37	151	1444	AT1G02270	10
AT1G02280.1	8	1165	75	201	887	AT1G02280	7
AT1G02290.1	2	1693	242	118	1331	AT1G02290	1
AT1G02300.1	10	1217	0	86	1130	AT1G02300	9
AT1G02305.1	11	1396	127	189	1078	AT1G02305	10
AT1G02310.1	5	1385	43	109	1231	AT1G02310	4
AT1G02320.1	1	146	0	0	146	AT1G02320	0
AT1G02330.1	6	1052	90	126	834	AT1G02330	5
AT1G02335.1	2	830	47	123	658	AT1G02335	1
AT1G02340.1	5	1248	158	214	874	AT1G02340	4
AT1G02350.1	4	419	0	0	419	AT1G02350	3
AT1G02360.1	2	1009	43	147	817	AT1G02360	1
AT1G02370.1	2	1756	15	127	1612	AT1G02370	1
AT1G02380.1	4	1117	302	120	693	AT1G02380	3
AT1G02390.1	2	1789	68	128	1591	AT1G02390	1
AT1G02391.1	1	155	0	0	155	AT1G02391	0
AT1G02400.1	3	1336	162	185	987	AT1G02400	2
AT1G02405.1	1	526	7	113	404	AT1G02405	0
AT1G02410.1	8	1168	146	163	857	AT1G02410	7
AT1G02420.1	1	1475	0	0	1475	AT1G02420	0
AT1G02430.1	5	693	0	124	568	AT1G02430	4
AT1G02440.1	5	568	0	0	568	AT1G02440	4
AT1G02450.1	1	540	35	75	428	AT1G02450	0
AT1G02460.1	6	1799	104	223	1470	AT1G02460	5
AT1G02470.2	7	848	37	150	659	AT1G02470	6
AT1G02475.1	8	921	72	194	653	AT1G02475	7
AT1G02480.1	1	72	0	0	0	AT1G02480	0
AT1G02490.1	1	116	0	0	116	AT1G02490	0
AT1G02500.1	2	1528	127	218	1181	AT1G02500	1
AT1G02510.1	2	1084	41	188	853	AT1G02510	1
AT1G02520.1	11	3860	32	0	3827	AT1G02520	10
AT1G02530.1	10	3988	40	134	3812	AT1G02530	9
AT1G02540.1	1	872	0	0	872	AT1G02540	0
AT1G02550.1	1	728	0	0	728	AT1G02550	0
AT1G02560.1	9	1332	139	303	888	AT1G02560	8
AT1G02570.1	1	905	44	23	836	AT1G02570	0
AT1G02575.1	1	897	42	23	830	AT1G02575	0
AT1G02580.1	17	2274	12	207	2053	AT1G02580	16
AT1G02590.1	4	266	0	0	266	AT1G02590	3
AT1G02600.1	1	71	0	0	0	AT1G02600	0
AT1G02610.1	7	930	139	130	659	AT1G02610	6
AT1G02620.1	2	685	0	317	367	AT1G02620	1
AT1G02630.1	2	1607	41	396	1168	AT1G02630	1
AT1G02640.1	5	2579	87	188	2302	AT1G02640	4
AT1G02650.1	3	1539	0	0	1539	AT1G02650	2
AT1G02660.1	5	2604	234	231	2137	AT1G02660	4
AT1G02670.1	16	2021	0	0	2021	AT1G02670	15
AT1G02680.1	6	901	133	390	376	AT1G02680	5
AT1G02690.2	10	1930	136	182	1610	AT1G02690	9
AT1G02700.1	2	1028	37	247	742	AT1G02700	1
AT1G02710.1	1	290	0	0	290	AT1G02710	0
AT1G02720.1	2	1773	288	398	1085	AT1G02720	1
AT1G02730.1	3	3851	183	123	3543	AT1G02730	2
AT1G02740.1	10	1309	16	317	974	AT1G02740	9
AT1G02750.1	4	996	175	157	662	AT1G02750	3
AT1G02760.1	1	72	0	0	0	AT1G02760	0
AT1G02770.1	6	1212	68	197	945	AT1G02770	5
AT1G02780.1	5	1026	73	311	640	AT1G02780	4
AT1G02790.1	4	1654	98	289	1265	AT1G02790	3
AT1G02800.1	8	1756	87	169	1498	AT1G02800	7
AT1G02810.1	2	1904	18	146	1738	AT1G02810	1
AT1G02813.1	1	611	94	66	449	AT1G02813	0
AT1G02816.1	1	1008	175	331	500	AT1G02816	0
AT1G02820.1	2	613	170	167	274	AT1G02820	1
AT1G02830.1	2	382	0	0	382	AT1G02830	1
AT1G02840.1	13	1228	91	235	900	AT1G02840	12
AT1G02850.4	12	1792	63	173	1554	AT1G02850	11
AT1G02860.1	6	1511	329	178	1002	AT1G02860	5
AT1G02870.1	3	840	73	186	579	AT1G02870	2
AT1G02880.3	6	1163	53	310	798	AT1G02880	5
AT1G02890.1	27	4104	109	279	3714	AT1G02890	26
AT1G02900.1	1	578	4	210	362	AT1G02900	0
AT1G02910.1	9	1548	22	171	1353	AT1G02910	8
AT1G02920.1	3	922	65	228	627	AT1G02920	2
AT1G02930.1	3	1046	235	185	624	AT1G02930	2
AT1G02940.1	4	767	0	0	767	AT1G02940	3
AT1G02950.2	4	906	31	139	734	AT1G02950	3
AT1G02952.1	3	419	0	0	0	AT1G02952	2
AT1G02960.2	14	1596	63	129	1402	AT1G02960	13
AT1G02965.1	6	483	0	0	483	AT1G02965	5
AT1G02970.1	10	1846	101	250	1493	AT1G02970	9
AT1G02980.1	14	2313	0	97	2215	AT1G02980	13
AT1G02990.3	11	4368	212	327	3827	AT1G02990	10
AT1G03000.1	13	3087	106	166	2813	AT1G03000	12
AT1G03010.1	5	2094	0	193	1900	AT1G03010	4
AT1G03020.1	1	308	0	0	308	AT1G03020	0
AT1G03022.1	1	125	0	0	125	AT1G03022	0
AT1G03030.1	12	1333	142	295	894	AT1G03030	11
AT1G03040.1	6	1450	173	372	903	AT1G03040	5
AT1G03050.1	4	1977	0	180	1796	AT1G03050	3
AT1G03055.1	7	912	39	83	788	AT1G03055	6
AT1G03060.1	19	11285	0	497	10787	AT1G03060	18
AT1G03070.1	5	1014	95	177	740	AT1G03070	4
AT1G03080.1	5	5731	348	182	5199	AT1G03080	4
AT1G03090.2	16	2590	35	364	2189	AT1G03090	15
AT1G03100.1	1	2594	71	140	2381	AT1G03100	0
AT1G03103.1	3	637	21	101	513	AT1G03103	2
AT1G03106.1	1	932	394	339	197	AT1G03106	0
AT1G03110.1	10	1554	112	166	1274	AT1G03110	9
AT1G03120.1	2	547	0	0	547	AT1G03120	1
AT1G03130.1	1	891	55	220	614	AT1G03130	0
AT1G03140.1	2	1441	79	99	1261	AT1G03140	1
AT1G03150.1	6	737	46	170	519	AT1G03150	5
AT1G03160.1	11	2867	38	99	2728	AT1G03160	10
AT1G03170.1	1	1052	172	156	722	AT1G03170	0
AT1G03180.1	7	1088	131	164	791	AT1G03180	6
AT1G03190.1	13	2565	135	163	2265	AT1G03190	12
AT1G03200.1	2	438	152	160	124	AT1G03200	1
AT1G03210.1	5	856	0	0	856	AT1G03210	4
AT1G03220.1	1	1529	20	206	1301	AT1G03220	0
AT1G03230.1	1	1501	18	177	1304	AT1G03230	0
AT1G03240.1	2	471	147	195	127	AT1G03240	1
AT1G03250.2	7	1183	216	216	749	AT1G03250	6
AT1G03260.1	9	1323	360	145	816	AT1G03260	8
AT1G03270.1	13	1487	0	0	1487	AT1G03270	12
AT1G03280.1	11	1890	151	307	1430	AT1G03280	10
AT1G03290.1	9	1851	132	9	1708	AT1G03290	8
AT1G03300.1	2	2011	0	0	2011	AT1G03300	1
AT1G03310.2	2	2938	163	125	2648	AT1G03310	1
AT1G03320.1	2	661	0	0	661	AT1G03320	1
AT1G03330.1	3	723	265	177	279	AT1G03330	2
AT1G03340.1	5	1293	49	89	1153	AT1G03340	4
AT1G03350.1	1	1755	146	195	1412	AT1G03350	0
AT1G03360.1	7	1257	115	178	962	AT1G03360	6
AT1G03365.1	3	2833	170	191	2470	AT1G03365	2
AT1G03370.1	8	3761	340	364	3055	AT1G03370	7
AT1G03380.1	9	3723	369	480	2872	AT1G03380	8
AT1G03390.1	1	1385	0	0	1385	AT1G03390	0
AT1G03400.1	3	1233	31	147	1053	AT1G03400	2
AT1G03410.1	3	2649	1108	345	1194	AT1G03410	2
AT1G03420.1	1	1075	0	0	0	AT1G03420	0
AT1G03430.1	6	1019	285	264	468	AT1G03430	5
AT1G03440.1	1	1666	314	157	1193	AT1G03440	0
AT1G03445.1	22	2705	101	242	2360	AT1G03445	21
AT1G03457.2	9	1685	55	320	1308	AT1G03457	8
AT1G03470.1	3	1244	133	301	808	AT1G03470	2
AT1G03475.1	8	1440	35	250	1153	AT1G03475	7
AT1G03490.1	4	842	0	0	842	AT1G03490	3
AT1G03495.1	1	1751	251	102	1396	AT1G03495	0
AT1G03502.1	1	113	0	0	0	AT1G03502	0
AT1G03506.1	1	86	0	0	0	AT1G03506	0
AT1G03510.1	1	1289	0	0	1289	AT1G03510	0
AT1G03515.1	1	71	0	0	0	AT1G03515	0
AT1G03520.1	4	2031	604	85	1340	AT1G03520	3
AT1G03530.1	3	2598	52	141	2403	AT1G03530	2
AT1G03540.1	1	1829	0	0	1829	AT1G03540	0
AT1G03545.1	3	1220	0	0	0	AT1G03545	2
AT1G03550.1	12	1246	177	227	840	AT1G03550	11
AT1G03560.1	1	2254	0	271	1982	AT1G03560	0
AT1G03570.1	1	71	0	0	0	AT1G03570	0
AT1G03590.1	6	1997	386	225	1384	AT1G03590	5
AT1G03600.1	1	779	39	214	524	AT1G03600	0
AT1G03610.1	5	1670	416	330	922	AT1G03610	4
AT1G03620.1	10	850	60	0	789	AT1G03620	9
AT1G03630.1	5	1389	56	130	1201	AT1G03630	4
AT1G03640.1	1	72	0	0	0	AT1G03640	0
AT1G03650.1	2	791	89	225	475	AT1G03650	1
AT1G03660.1	1	323	0	0	323	AT1G03660	0
AT1G03670.1	3	1848	0	0	1848	AT1G03670	2
AT1G03680.1	2	908	198	170	538	AT1G03680	1
AT1G03687.1	8	1348	8	200	1138	AT1G03687	7
AT1G03700.1	3	637	87	56	492	AT1G03700	2
AT1G03710.1	4	953	65	280	606	AT1G03710	3
AT1G03720.1	4	821	0	0	821	AT1G03720	3
AT1G03730.1	1	1067	374	188	503	AT1G03730	0
AT1G03740.1	7	3010	542	250	2216	AT1G03740	6
AT1G03743.1	1	80	0	0	0	AT1G03743	0
AT1G03746.1	1	84	0	0	0	AT1G03746	0
AT1G03750.1	7	2676	0	93	2582	AT1G03750	6
AT1G03760.1	10	1372	56	148	1166	AT1G03760	9
AT1G03770.2	10	1649	199	51	1397	AT1G03770	9
AT1G03780.3	18	2521	130	34	2355	AT1G03780	17
AT1G03790.1	1	1572	63	326	1181	AT1G03790	0
AT1G03800.1	1	737	0	0	737	AT1G03800	0
AT1G03810.1	2	430	0	0	430	AT1G03810	1
AT1G03820.1	1	859	51	138	668	AT1G03820	0
AT1G03830.2	13	3276	134	111	3029	AT1G03830	12
AT1G03840.1	3	1683	71	92	1518	AT1G03840	2
AT1G03850.1	2	885	75	330	478	AT1G03850	1
AT1G03860.1	6	1274	114	302	856	AT1G03860	5
AT1G03870.1	1	1034	171	118	743	AT1G03870	0
AT1G03880.1	4	1629	34	229	1364	AT1G03880	3
AT1G03890.1	4	1516	51	111	1352	AT1G03890	3
AT1G03900.1	3	1195	112	265	816	AT1G03900	2
AT1G03905.1	6	1135	77	189	867	AT1G03905	5
AT1G03910.2	14	2452	107	205	2138	AT1G03910	13
AT1G03920.1	12	1993	151	142	1698	AT1G03920	11
AT1G03930.1	14	2324	669	251	1402	AT1G03930	13
AT1G03935.1	1	86	0	0	0	AT1G03935	0
AT1G03940.1	1	1514	104	0	1409	AT1G03940	0
AT1G03950.1	11	991	152	215	622	AT1G03950	10
AT1G03960.1	13	2318	369	369	1578	AT1G03960	12
AT1G03970.1	1	1147	136	197	812	AT1G03970	0
AT1G03980.1	9	2328	236	740	1350	AT1G03980	8
AT1G03982.1	3	1287	582	172	531	AT1G03982	2
AT1G03990.1	3	2274	0	0	2274	AT1G03990	2
AT1G04000.1	1	1013	245	308	458	AT1G04000	0
AT1G04010.1	16	2383	108	386	1887	AT1G04010	15
AT1G04020.1	13	2384	72	178	2132	AT1G04020	12
AT1G04030.1	5	1841	213	325	1301	AT1G04030	4
AT1G04040.1	3	1060	44	201	813	AT1G04040	2
AT1G04050.1	11	2664	100	368	2194	AT1G04050	10
AT1G04070.1	1	633	69	278	284	AT1G04070	0
AT1G04080.3	15	2948	212	276	2458	AT1G04080	14
AT1G04090.1	2	1963	73	171	1717	AT1G04090	1
AT1G04100.1	4	1250	302	164	782	AT1G04100	3
AT1G04110.1	1	2327	0	0	2327	AT1G04110	0
AT1G04120.1	12	5265	336	393	4534	AT1G04120	11
AT1G04130.1	8	1307	37	193	1075	AT1G04130	7
AT1G04140.2	14	3124	308	446	2368	AT1G04140	13
AT1G04150.1	1	3038	0	0	3038	AT1G04150	0
AT1G04160.1	38	4465	0	0	4465	AT1G04160	37
AT1G04170.1	9	1784	197	195	1390	AT1G04170	8
AT1G04171.1	1	164	0	0	164	AT1G04171	0
AT1G04180.1	2	1264	0	0	1264	AT1G04180	1
AT1G04190.1	8	1326	157	188	979	AT1G04190	7
AT1G04200.1	18	2607	193	231	2181	AT1G04200	17
AT1G04210.1	11	3975	290	355	3328	AT1G04210	10
AT1G04220.1	2	1782	42	153	1585	AT1G04220	1
AT1G04230.1	8	1368	57	339	970	AT1G04230	7
AT1G04240.1	3	1175	231	375	567	AT1G04240	2
AT1G04250.1	5	1082	123	272	685	AT1G04250	4
AT1G04260.1	1	837	67	220	548	AT1G04260	0
AT1G04270.1	4	796	92	247	455	AT1G04270	3
AT1G04280.1	9	1916	112	206	1596	AT1G04280	8
AT1G04290.1	3	844	180	197	465	AT1G04290	2
AT1G04295.1	2	550	0	0	0	AT1G04295	1
AT1G04300.3	13	3597	200	158	3237	AT1G04300	12
AT1G04310.1	3	2467	178	351	1936	AT1G04310	2
AT1G04320.1	1	70	0	0	0	AT1G04320	0
AT1G04330.1	1	671	95	272	302	AT1G04330	0
AT1G04340.1	5	837	113	247	475	AT1G04340	4
AT1G04350.1	3	1441	130	229	1080	AT1G04350	2
AT1G04360.1	1	1421	225	49	1145	AT1G04360	0
AT1G04370.1	1	401	0	0	401	AT1G04370	0
AT1G04380.1	3	1279	22	220	1035	AT1G04380	2
AT1G04390.1	9	2945	88	314	2541	AT1G04390	8
AT1G04400.2	5	2259	260	162	1835	AT1G04400	4
AT1G04410.1	7	1477	144	339	992	AT1G04410	6
AT1G04420.1	8	1442	25	184	1231	AT1G04420	7
AT1G04425.1	3	454	0	0	0	AT1G04425	2
AT1G04430.1	8	2371	279	225	1865	AT1G04430	7
AT1G04440.1	14	2092	559	138	1393	AT1G04440	13
AT1G04445.1	1	518	0	0	518	AT1G04445	0
AT1G04450.1	5	900	218	20	660	AT1G04450	4
AT1G04470.1	5	3302	70	127	3103	AT1G04470	4
AT1G04480.1	3	645	14	209	420	AT1G04480	2
AT1G04490.1	4	1420	200	14	1204	AT1G04490	3
AT1G04500.1	5	1611	130	323	1156	AT1G04500	4
AT1G04501.1	1	128	0	0	128	AT1G04501	0
AT1G04510.1	18	1963	173	234	1554	AT1G04510	17
AT1G04520.1	4	1439	273	244	920	AT1G04520	3
AT1G04530.1	5	1347	138	279	928	AT1G04530	4
AT1G04540.1	1	1805	0	0	1805	AT1G04540	0
AT1G04550.2	5	1233	206	310	715	AT1G04550	4
AT1G04555.1	4	935	184	294	455	AT1G04555	3
AT1G04560.1	3	852	122	170	558	AT1G04560	2
AT1G04570.1	2	1933	174	130	1627	AT1G04570	1
AT1G04580.1	10	4094	0	89	4004	AT1G04580	9
AT1G04590.2	9	1342	13	181	1146	AT1G04590	8
AT1G04600.1	42	5151	0	0	5151	AT1G04600	41
AT1G04610.1	3	1734	135	286	1311	AT1G04610	2
AT1G04620.1	19	1590	91	127	1370	AT1G04620	18
AT1G04625.1	3	771	0	0	771	AT1G04625	2
AT1G04630.1	3	742	125	186	429	AT1G04630	2
AT1G04635.1	1	681	35	189	455	AT1G04635	0
AT1G04640.1	2	894	77	108	707	AT1G04640	1
AT1G04645.1	1	493	23	82	386	AT1G04645	0
AT1G04650.1	7	3086	98	0	2987	AT1G04650	6
AT1G04660.1	1	1287	466	181	638	AT1G04660	0
AT1G04670.1	3	694	123	191	378	AT1G04670	2
AT1G04680.1	6	1917	103	522	1290	AT1G04680	5
AT1G04684.1	1	149	0	0	149	AT1G04684	0
AT1G04690.1	5	1410	97	329	982	AT1G04690	4
AT1G04700.1	9	3877	489	265	3121	AT1G04700	8
AT1G04710.1	14	1581	36	225	1318	AT1G04710	13
AT1G04720.1	1	37	0	0	0	AT1G04720	0
AT1G04730.1	22	2899	0	88	2810	AT1G04730	21
AT1G04750.1	5	1187	140	390	655	AT1G04750	4
AT1G04760.1	5	658	0	0	658	AT1G04760	4
AT1G04770.1	4	1183	81	192	908	AT1G04770	3
AT1G04778.1	2	304	54	78	170	AT1G04778	1
AT1G04780.1	2	2834	618	221	1993	AT1G04780	1
AT1G04790.1	9	2278	72	307	1897	AT1G04790	8
AT1G04800.1	1	834	48	182	602	AT1G04800	0
AT1G04810.1	13	3298	123	180	2993	AT1G04810	12
AT1G04820.1	3	1700	119	229	1350	AT1G04820	2
AT1G04830.2	10	1753	174	207	1370	AT1G04830	9
AT1G04840.1	2	1996	0	0	1996	AT1G04840	1
AT1G04850.1	12	1561	137	192	1230	AT1G04850	11
AT1G04860.1	3	3415	278	251	2884	AT1G04860	2
AT1G04870.2	7	1560	163	250	1145	AT1G04870	6
AT1G04880.1	7	1580	93	144	1341	AT1G04880	6
AT1G04890.1	3	2020	52	733	1233	AT1G04890	2
AT1G04900.1	13	1721	70	333	1316	AT1G04900	12
AT1G04910.1	9	1894	112	229	1551	AT1G04910	8
AT1G04920.1	11	3458	107	171	3178	AT1G04920	10
AT1G04930.2	8	1401	64	254	1081	AT1G04930	7
AT1G04940.1	3	1135	157	153	823	AT1G04940	2
AT1G04945.3	9	2523	207	386	1928	AT1G04945	8
AT1G04950.1	13	2179	174	364	1639	AT1G04950	12
AT1G04960.2	10	1659	443	219	995	AT1G04960	9
AT1G04970.1	6	1703	45	195	1461	AT1G04970	5
AT1G04980.1	9	1584	23	224	1335	AT1G04980	8
AT1G04985.1	5	988	190	219	577	AT1G04985	4
AT1G04990.2	8	1559	184	165	1208	AT1G04990	7
AT1G05000.2	6	1186	58	388	738	AT1G05000	5
AT1G05010.1	4	1360	162	228	968	AT1G05010	3
AT1G05020.1	1	2413	321	129	1961	AT1G05020	0
AT1G05030.1	12	1767	31	171	1563	AT1G05030	11
AT1G05040.1	4	810	0	311	498	AT1G05040	3
AT1G05055.1	4	1492	34	194	1262	AT1G05055	3
AT1G05060.1	5	996	13	224	757	AT1G05060	4
AT1G05065.1	1	251	0	0	251	AT1G05065	0
AT1G05070.1	3	874	212	108	552	AT1G05070	2
AT1G05080.1	3	1317	0	0	1317	AT1G05080	2
AT1G05085.1	4	371	0	0	371	AT1G05085	3
AT1G05090.1	4	2117	0	0	2117	AT1G05090	3
AT1G05100.1	1	1271	68	182	1019	AT1G05100	0
AT1G05120.1	16	2715	10	217	2486	AT1G05120	15
AT1G05136.1	1	140	0	0	140	AT1G05136	0
AT1G05140.1	1	1508	132	49	1325	AT1G05140	0
AT1G05150.1	1	2893	253	212	2426	AT1G05150	0
AT1G05160.1	9	2069	341	261	1465	AT1G05160	8
AT1G05170.2	11	1826	316	295	1213	AT1G05170	10
AT1G05180.1	14	1901	48	242	1609	AT1G05180	13
AT1G05190.1	3	932	91	170	669	AT1G05190	2
AT1G05200.1	7	3250	225	149	2874	AT1G05200	6
AT1G05205.1	3	554	31	248	273	AT1G05205	2
AT1G05210.1	2	768	64	197	505	AT1G05210	1
AT1G05220.1	2	703	35	185	481	AT1G05220	1
AT1G05230.1	12	2667	104	405	2156	AT1G05230	11
AT1G05240.1	4	1273	64	233	974	AT1G05240	3
AT1G05250.1	4	1362	64	322	974	AT1G05250	3
AT1G05260.1	4	1205	59	167	977	AT1G05260	3
AT1G05270.1	9	1377	104	164	1107	AT1G05270	8
